date,game,category,sales,first_commission,final_commission,commission_rate_%,year,quarter,game_group
2019-04-01,V-SOCCER_3,virtual,240.25,17.31,17.66,7.350676378772112,2019,2,VIRTUAL
2019-04-01,V-SOCCER_4,virtual,206.75,19.04,18.87,9.126964933494559,2019,2,VIRTUAL
2019-07-01,FINO,lottery,135536.0,9205.98,9437.88,6.963375044268681,2019,3,FINO
2019-07-01,FINO SELF,lottery,2477.0,103.82,111.23,4.490512716996366,2019,3,FINO
2019-07-01,JACKPOT,lottery,21769.5,2503.97,2909.93,13.367004294999884,2019,3,JACKPOT
2019-07-01,LOTO,lottery,1665.0,226.51,214.36,12.874474474474477,2019,3,LOTO
2019-07-01,SEVEN-IN-ROW,lottery,1166.0,128.59,132.52,11.365351629502573,2019,3,SEVEN-IN-ROW
2019-07-01,LUCKY-3,lottery,704.0,61.54,71.94,10.21875,2019,3,LUCKY-3
2019-07-01,PLUS-5,lottery,435.0,36.26,46.46,10.680459770114943,2019,3,PLUS-5
2019-07-01,CAST WED,bettting,42.0,5.59,4.62,11.0,2019,3,CAST_GAMES
2019-07-01,CAST SAT,bettting,11.75,1.57,1.49,12.680851063829786,2019,3,CAST_GAMES
2019-07-01,CAST SUN,bettting,23.0,3.07,2.82,12.26086956521739,2019,3,CAST_GAMES
2019-07-01,CASTGOALS,bettting,0.25,0.03,0.03,12.0,2019,3,CAST_GAMES
2019-07-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2019,3,GREYHOUNDS
2019-07-01,BET_1,bettting,41897.0,1047.51,1049.4,2.5047139413323154,2019,3,BETTING
2019-07-01,BET_2,bettting,14723.0,736.29,726.88,4.937037288596073,2019,3,BETTING
2019-07-01,BET_3,bettting,9123.5,711.68,633.18,6.940099742423412,2019,3,BETTING
2019-07-01,BET_4,bettting,21569.75,2329.53,2026.37,9.394499240834966,2019,3,BETTING
2019-07-01,V-SOCCER_1,virtual,46363.75,1622.8,1784.09,3.848027823461217,2019,3,VIRTUAL
2019-07-01,V-SOCCER_2,virtual,696.75,38.43,36.09,5.179763186221744,2019,3,VIRTUAL
2019-07-01,V-SOCCER_3,virtual,232.0,16.7,15.82,6.818965517241379,2019,3,VIRTUAL
2019-07-01,V-SOCCER_4,virtual,240.25,22.13,21.73,9.04474505723205,2019,3,VIRTUAL
2019-10-01,FINO,lottery,79815.0,5415.96,5642.27,7.069184990290046,2019,4,FINO
2019-10-01,FINO SELF,lottery,2003.5,83.66,95.52,4.7676566009483405,2019,4,FINO
2019-10-01,JACKPOT,lottery,14939.5,1718.49,1501.55,10.05087184979417,2019,4,JACKPOT
2019-10-01,LOTO,lottery,827.5,112.61,99.84,12.065256797583082,2019,4,LOTO
2019-10-01,SEVEN-IN-ROW,lottery,706.0,77.92,75.15,10.644475920679888,2019,4,SEVEN-IN-ROW
2019-10-01,LUCKY-3,lottery,359.5,31.3,33.35,9.276773296244786,2019,4,LUCKY-3
2019-10-01,PLUS-5,lottery,281.5,23.52,39.04,13.86856127886323,2019,4,PLUS-5
2019-10-01,CAST WED,bettting,4.0,0.53,0.59,14.75,2019,4,CAST_GAMES
2019-10-01,CAST SAT,bettting,8.5,1.13,1.18,13.882352941176471,2019,4,CAST_GAMES
2019-10-01,CAST SUN,bettting,50.0,6.65,7.01,14.02,2019,4,CAST_GAMES
2019-10-01,CASTGOALS,bettting,0.0,0.0,0.0,,2019,4,CAST_GAMES
2019-10-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2019,4,GREYHOUNDS
2019-10-01,BET_1,bettting,12897.25,322.5,281.72,2.1843416232142516,2019,4,BETTING
2019-10-01,BET_2,bettting,8842.75,442.31,414.13,4.683271606683441,2019,4,BETTING
