date,game,category,sales,first_commission,final_commission
q2-2021,LUCKY-3,lottery,357.5,34.72,34.65
q2-2021,PLUS-5,lottery,381.5,36.96,33.43
q2-2021,CAST WED,bettting,2,0.29,0.2
q2-2021,CAST SAT,bettting,19,2.71,2.22
q2-2021,CAST SUN,bettting,18.75,2.67,2.71
q2-2021,CASTGOALS,bettting,10.25,1.52,0.65
q2-2021,LUCKYSPIN,virtual,17572.75,457.53,486.85
q2-2021,GREYHOUNDS,bettting,10,0.29,0.34
q2-2021,BET_1,bettting,10379.5,254.29,316.57
q2-2021,BET_2,bettting,3121,162.26,176.03
q2-2021,BET_3,bettting,3172,231.42,224.17
q2-2021,BET_4,bettting,6941.5,735.84,725.52
q2-2021,V-SOCCER_1,virtual,13659.5,519.08,536.41
q2-2021,V-SOCCER_2,virtual,1740.75,102.7,90.62
q2-2021,V-SOCCER_3,virtual,571.25,44.58,39.95
q2-2021,V-SOCCER_4,virtual,56.5,5.63,5.54
q3-2021,FINO,lottery,117831.5,8611.52,8845.79
q3-2021,FINO SELF,lottery,991,46.58,46.24
q3-2021,JACKPOT,lottery,17975,2247.12,2358.95
q3-2021,LOTO,lottery,1650.5,239.4,249.22
q3-2021,SEVEN-IN-ROW,lottery,981.5,114.9,121.52
q3-2021,LUCKY-3,lottery,2390.5,231.94,232.34
q3-2021,PLUS-5,lottery,438.5,42.52,52.18
q3-2021,CAST WED,bettting,15,2.15,2.08
q3-2021,CAST SAT,bettting,28,3.99,4.01
q3-2021,CAST SUN,bettting,141.5,20.23,20.36
q3-2021,CASTGOALS,bettting,10,1.48,1.46
q3-2021,LUCKYSPIN,virtual,15703.25,408.9,434.61
q3-2021,GREYHOUNDS,bettting,120,3.48,4.77
q3-2021,BET_1,bettting,9209.5,225.61,221.4
q3-2021,BET_2,bettting,4611,239.85,238.21
q3-2021,BET_3,bettting,4779.75,348.96,347.11
q3-2021,BET_4,bettting,14771.5,1565.77,1536.57
q3-2021,V-SOCCER_1,virtual,20194,767.4,726.57
q3-2021,V-SOCCER_2,virtual,1872,110.45,98.19
q3-2021,V-SOCCER_3,virtual,382.75,29.88,28.67
q3-2021,V-SOCCER_4,virtual,45.25,4.5,4.24
q4-2021,FINO,lottery,94880,6935.36,7184.76
q4-2021,FINO SELF,lottery,509,24.15,24.81
q4-2021,JACKPOT,lottery,11950.5,1493.97,1388.47
q4-2021,LOTO,lottery,2869.5,416.19,413.75
q4-2021,SEVEN-IN-ROW,lottery,533.5,62.5,47.02
q4-2021,LUCKY-3,lottery,751.5,73.02,73.14
q4-2021,PLUS-5,lottery,368.5,35.72,44.11
q4-2021,CAST WED,bettting,0.25,0.04,0.05
q4-2021,CAST SAT,bettting,2.5,0.36,0.39
q4-2021,CAST SUN,bettting,35.75,5.11,5.1
q4-2021,CASTGOALS,bettting,11.25,1.67,2.64
q4-2021,LUCKYSPIN,virtual,44914,1169.69,1223.74
q4-2021,GREYHOUNDS,bettting,2.25,0.07,0.07
q4-2021,BET_1,bettting,6022.25,147.76,133.35
q4-2021,BET_2,bettting,6454.25,331.2,290.88
